dept,amount,source
Airbnb Projected Tax Revenue,"65000000",
Actual Hotel Tax Revenue,"570000000",fy17
Campaign Finance Board,"14481042",fy16
Department of City Planning,"38111737",fy16
New York Public Library,"132235696",fy16
City University,"993201681",fy16
Fire Department,"1831261770",fy16
City Council,"61023705",fy16
Department of Health,"1350248406",fy16
Department of Parks and Recreation,"454680535",fy16
District Attorney - New York,"98575081",fy16
Department of Transportation,"880011843",fy16
Department of Probation,"95530172",fy16